Record_Type,Title,Description,Category,Severity,Priority,Cluster
Bug,SQL Injection in Custom Transaction City Field,The 'c-city' input field does not sanitize inputs.,Security,Critical,P1,Input Handling & Validation
Bug,XSS Vulnerability in Scenario Log,The stream log allows arbitrary HTML rendering without sanitization.,Security,Critical,P1,Input Handling & Validation
Bug,Unauthenticated Access to /simulate/full,The /simulate/full endpoint does not validate the X-API-Key header properly.,Security,Critical,P1,Authentication & Authorization
Bug,API Rate Limiting Bypass,Global rate limits are bypassed if the X-Forwarded-For header is spoofed.,Security,Critical,P1,Infrastructure & Networking
Bug,Redis Connection Timeout Freezes UI,"If Upstash Redis is unreachable, the frontend spinner runs indefinitely.",Performance,Critical,P1,Infrastructure & Networking
Bug,Data Leakage in Error Responses,Backend 500 errors return full stack traces leaking internal paths.,Security,Critical,P1,Authentication & Authorization
Bug,IDOR on /profiles/{user_id},Users can fetch any profile data by changing the user_id parameter.,Security,Critical,P1,Authentication & Authorization
Bug,Missing CSRF Tokens on State-Changing API,The POST /feedback/submit endpoint has no CSRF protection.,Security,Critical,P1,Authentication & Authorization
Bug,Concurrent Submissions Duplicate Transactions,Double-clicking 'Run Detection' sends multiple identical POST requests.,Functional,Critical,P1,State & DOM Management
Bug,Graph Memory Leak,"Navigating away from and back to Fraud Graph creates WebGL contexts, crashing browser.",Performance,Critical,P1,State & DOM Management
Bug,LLM Timeout Fails Open,"If the Groq LLM takes longer than 5 seconds, the system defaults to 'APPROVED'.",Security,Critical,P1,Infrastructure & Networking
Bug,Negative Transaction Amounts Accepted,"The 'Amount' input allows negative numbers, crashing the Risk Delta engine.",Functional,Critical,P1,Input Handling & Validation
Bug,Invalid JWT Tokens Accepted,The API occasionally accepts expired JWT tokens within a 15-minute clock skew.,Security,Critical,P1,Authentication & Authorization
Bug,CORS Misconfiguration,CORS_ALLOWED_ORIGINS accepts arbitrary subdomains.,Security,Critical,P1,Infrastructure & Networking
Bug,Database Deadlocks on Heavy Batch Runs,Running Batch Test with Count > 200 causes SQLite database locks.,Performance,Critical,P1,Infrastructure & Networking
Bug,Missing Input Validation on Batch %,Setting Fraud % to 9999% in the batch test causes an uncaught ValueError.,Functional,Critical,P1,Input Handling & Validation
Bug,Admin Dashboard Accessible via Direct Link,The /admin path is not protected by frontend routing guards.,Security,Critical,P1,Authentication & Authorization
